title,price_clean,bedrooms,bathrooms,toilets,area,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,property_type
4 Bedroom Semi Detached Duplex,20000000.0,4.0,4.0,5.0,"Twin Lake Estate, Chevron Toll Gate Lekki",0,0,0,0,0,0,0,0,1,0,0,0,Duplex
4 Bedroom Maisonette Duplex With Bq,25000000.0,4.0,4.0,4.0,"Builders Mart Road, Marwa Lekki",0,0,0,1,0,0,1,1,1,0,0,1,Duplex
Commerical 4 Bedroom Detached Duplex,25000000.0,4.0,4.0,5.0,Off Fola Osibo Street Lekki Phase 1 Lekki,0,0,0,1,0,0,0,0,1,0,0,0,Duplex
3 Bedroom Terrace Duplex,5000000.0,3.0,3.0,4.0,Lakowe Lakes Lekki Lakowe Ajah,0,0,0,1,0,1,0,0,1,0,0,1,Duplex
553sqm Land,50000000.0,,,,"Ligali Ayorinde/Muri Okunola Road, Ligali Ayorinde Victoria Island",0,0,0,0,0,0,0,0,0,0,0,0,Other
Brand New Smart Home With Parking For 10 Cars In Omole,600000000.0,5.0,6.0,6.0,Omole Phase 1 Ikeja Lagos Ikeja,1,0,0,1,0,0,0,0,1,0,0,1,Other
3 Bedroom Semi Detached Bungalow,45000000.0,3.0,3.0,3.0,Oribanwa Phase 2 Awoyaya Ajah,0,0,0,0,0,1,0,0,1,0,0,0,Semi-Detached
3 Bedroom Terrace Duplex,7500000.0,3.0,3.0,4.0,Harris Drive Estate Vgc Lekki,0,1,0,0,0,0,0,0,1,0,0,0,Duplex
Commercial Shop For Rent,3800000.0,,,,Abraham Adesanya Abraham Adesanya Estate Ajah,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
4 Bedroom Detached Duplex,8000000.0,4.0,4.0,5.0,Olokonla Gra Estate Ajah,0,0,0,0,0,1,0,0,1,0,0,1,Duplex
3 Bedroom Semi Detached Duplex,8000000.0,3.0,3.0,4.0,Madam Cellular Estate Agungi Agungi Lekki,0,0,0,0,0,0,0,0,1,0,0,1,Duplex
Serviced Smart 2 Bedroom Apartment,3000000.0,2.0,2.0,3.0,Oribanwa Phase 2 Awoyaya Ajah,0,0,0,0,0,0,1,0,0,0,0,1,Apartment
Furnished 2 Bedroom Apartment,10000000.0,2.0,2.0,3.0,Exclu Court Estate Ikate Lekki,0,0,0,0,0,0,1,1,1,0,0,1,Apartment
3 Bedroom Apartment With Bq,20000000.0,3.0,3.0,4.0,Omorinre Johnson Road Lekki Phase 12 Lekki Phase 1 Lekki,0,0,0,1,1,0,0,1,1,0,0,1,Apartment
3 Bedroom Duplex With Bq,4000000.0,3.0,3.0,4.0,Oribanwa Phase 2 Awoyaya Ajah,0,0,1,1,0,0,0,1,1,0,0,0,Duplex
4 Bedroom Semi Detached Flat,12000000.0,4.0,4.0,5.0,Alpha Beach Road Alpha Beach Road Lekki,0,0,0,0,0,1,0,0,0,0,0,0,Semi-Detached
Newly Built 4 Bedroom Semi Detached Duplex,10000000.0,4.0,4.0,5.0,Vgc Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Furnished 2 Bedroom Flat,16000000.0,2.0,2.0,3.0,Banana Island Road Mojisola Onikoyi Estate Ikoyi,1,1,0,0,0,0,1,1,0,0,0,0,Apartment
Spacious Shop,3000000.0,,,,Orchid Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Other
4 Bedroom Terrace Duplex,8000000.0,4.0,4.0,5.0,Vgc Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Beautiful 3 Bedroom Semi Detached Duplex + Bq,6000000.0,3.0,3.0,4.0,Ajah Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Duplex
2 Bedroom Apartment,10000000.0,2.0,2.0,3.0,Ikate Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
4 Bedroom Duplex With Bq,15000000.0,4.0,4.0,5.0,"Agbalajobi Estate, Wempco Road Ogba",0,0,1,1,0,1,0,0,0,0,1,1,Duplex
Serviced 3 Bedroom Maisonette,35000000.0,3.0,2.0,3.0,2Nd Avenue Road Old Ikoyi Ikoyi,1,1,1,1,0,0,0,1,1,0,1,0,Maisonette
4 Bedroom Detached Duplex,6500000.0,4.0,4.0,5.0,Oribanwa Phase 2 Awoyaya Ajah,0,0,0,1,0,0,1,1,1,0,0,1,Duplex
1 Bedroom Flat,350000.0,1.0,1.0,,Chevron Lekki,0,0,0,0,0,0,1,1,0,0,0,0,Apartment
5 Bedroom Semi Detached House + 2 Bedroom Flat,15000000.0,,,,Ilupeju,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Detached
5 Bedroom Detached Duplex With Pool & Bq,300000000.0,5.0,5.0,6.0,Estate Ajah,1,0,1,1,0,0,0,0,1,0,1,0,Duplex
Newly Built Room Self Contain @mushin,800000.0,1.0,1.0,1.0,Olateju Mushin,0,0,1,0,0,0,0,0,1,0,1,0,Other
Newly Built Room Self Contain,1300000.0,1.0,1.0,1.0,Pedro Road Palmgrove Shomolu,0,1,1,0,0,0,0,0,1,0,1,0,Other
Newly Built Mini Flat,1800000.0,1.0,2.0,2.0,Randle Avenue Surulere,0,0,1,0,0,0,0,0,1,0,1,0,Apartment
Newly Built Room And Parlour Self Contain,1500.0,1.0,2.0,2.0,Idi Araba Off Luth Mushin Mushin Mushin,0,0,1,0,0,0,0,0,1,0,1,0,Other
Newly Built Room And Parlour Self Contained,1400000.0,1.0,1.0,1.0,Buari Street Mushin Mushin,0,0,0,0,0,0,0,0,1,0,0,0,Other
Newly Built 2 Bedroom Apartment,4000000.0,2.0,3.0,3.0,Ikorodu Road (Ilupeju) Ilupeju,0,1,1,0,0,0,0,0,1,0,1,0,Apartment
Newly Built Room And Parlour Self Contained,160000.0,1.0,1.0,1.0,"Karimu Street Off Majolate, Ikorodu Road (Ilupeju) Ilupeju",0,1,1,0,0,0,0,0,1,0,1,0,Other
Newly Built Room Self Contained,1000000.0,1.0,1.0,1.0,Palmgrove Shomolu,0,0,1,0,0,0,0,0,1,0,1,0,Other
Conference / Meeting / Multipurpose Event Hall,250000.0,,3.0,3.0,"25, Oladimeji Alo Street, Off Freedom Way, Close To The Visa Center, Lekki Phase 1 Lekki",0,0,1,0,0,0,0,0,1,0,1,1,Other
Space,250000.0,,3.0,3.0,"25 Oladimeji Alo Street, Off Freedom Way, Close To The Visa Center Freedom Way Lekki",0,0,1,0,0,0,0,0,1,0,1,1,Other
"Training, Seminar, Meeting, Conference Hall",180000.0,,3.0,3.0,"Off Freedom Way, Lekki Phase 1 Lekki",0,0,1,0,0,0,0,0,1,0,1,1,Semi-Detached
Newly Built 4 Bedroom Terraced Duplex,20000000.0,4.0,4.0,5.0,Ikate Lekki,0,0,1,0,0,1,0,0,1,0,1,1,Duplex
A 4 Bedroom Duplex,13000000.0,,,,"Lekki Palm City, Thomas Estate Ajah",0,0,0,0,0,0,0,0,0,0,0,0,Duplex
Room Self Contained,1000000.0,,,,Unity Estates Badore Ajah,0,0,0,0,0,0,0,0,0,0,0,0,Other
A Standard Shared Apartment,1500000.0,,,,Ikota Gra Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard 4 Bedroom Terraced Duplex,7000000.0,,,,Ikota Villa Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Duplex
A Standard 2 Bedroom In Lanbase Ajah,1700000.0,,,,Harmony Estates Ado Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Other
A Standard Shared Apartment,1500000.0,,,,Ikota Gra Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard New Mini Flat,2000000.0,,,,"Sunny Villa, Badore Ajah",0,0,0,0,0,1,0,1,0,0,0,0,Apartment
Shared Apartment,900000.0,,,,Akins Estates Ado Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard Room Self Con In Badore,1000000.0,,,,Badore Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Other
Luxurious 4 Bedroom Semi Detached Duplex With Bq,240000000.0,4.0,4.0,5.0,Orchid Lekki,0,1,0,1,0,0,0,0,0,0,0,0,Duplex
A Standard 2 Bedroom Flat,2500000.0,,,,"Peace Villa Estates, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Shared Apartment,1000000.0,,,,Thomas Estates Thomas Estate Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Shared Apartment,700000.0,,,,"Green Villa Estates, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Mini Flat,4000000.0,,,,Westend Estate Lekki County Ikota Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard Shared Apartment In Badore Ajah,700000.0,,,,Remlek Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard Mini Flat,1200000.0,,,,"Unity Estates, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
2 Bedroom Service Apartment,5000000.0,,,,"Chevron Toll Gate, Chevron Lekki",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard 3 Bedroom In Seaside Badore,3000000.0,,,,Seaside Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Other
Master Bedroom In A Shared Apartment,2900000.0,,,,Westend Estate Lekki County Ikota Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Master Bedroom In A Shared Apartment,2500000.0,,,,Salme Kate Ikate Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Standard Shared Apartment,1400000.0,,,,Ikota Gra Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Sweet And Beautiful Fully Furnished Shared Apartment,2200000.0,1.0,1.0,1.0,Mobil Road Ikota Lekki,0,0,1,0,0,0,1,0,1,0,1,1,Apartment
A Master Bedroom In A Shared Apartment,2500000.0,,,,Salme Kate Ikate Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard 3 Bedroom In Seaside Badore,3000000.0,,,,Seaside Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Other
Shared Apartment,1800000.0,,,,Westend Estate Lekki County Ikota Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Mini Flat,1500000.0,,,,Unity Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Standard 3 Bedroom Flat,3600000.0,,,,Ocean Breeze Badore Ajah,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard Mini Flat Apartment In Badore,1500000.0,,,,Ado Ado Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard Room Self Contained,1000000.0,,,,Seaside Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Other
A Standard Shared Apartment,1500000.0,,,,"Royal Pin Gate 3, Orchid Lekki",0,0,0,1,0,1,0,1,0,0,0,0,Apartment
A Standard Shared Apartment,700000.0,,,,"Sunny Vila, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
5 Bedroom Fully Detached Duplex With Bq,750000000.0,,,,Lekki Phase 1 Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
A Standard 4 Bedroom Duplex,11000000.0,,,,"Lekki Palm City, Lekki Gardens Estate Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Duplex
A Standard 2 Bedroom Flat,2500000.0,,,,"Peace Villa, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard Shared Apartment In Greenville Badore,600000.0,,,,Greenville Estates Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Standard 2 Bedroom Flat,5000000.0,,,,Ilasan Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Shared Apartment,700000.0,,,,Greenville Estates Badore Ajah,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard Shared Apartment,800000.0,,,,"Rock Stone, Badore Ajah",0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard 3 Bedroom Flat In Badore,3000000.0,,,,Badore Badore Ajah,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Standard Room Self Contained,800000.0,,,,"Remlek Estates, Badore Ajah",0,0,0,0,0,0,0,1,0,0,0,0,Other
A Newly Built 2 Bedroom Flat,4000000.0,,,,Thomas Estate Ajah,0,0,0,0,0,1,0,1,0,0,0,0,Apartment
A Fully Serviced Mini Flat,4000000.0,,,,Osapa London Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
A Decent Lovely Mini Flat,3000000.0,1.0,1.0,2.0,Ogudu Gra Ogudu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Newly Built 4 Four Bedroom Fully Detached House,50000000.0,4.0,4.0,5.0,Lekki 1 Lekki Lekki Phase 1 Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Detached
A Decent Newly Built 2 Bedroom Flat,4000000.0,2.0,2.0,3.0,Off Pedro Road Gbagada,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,2700000.0,1.0,1.0,2.0,Off Oregun Road Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Standard Newly Built Mini Flat,2500000.0,1.0,1.0,2.0,P&T Estate Ipaja,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely 3 Bedroom Flat,1300000.0,3.0,3.0,3.0,Abesan Estate Ipaja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,700000.0,1.0,1.0,2.0,Golden Block Ayobo Ipaja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,3000000.0,1.0,1.0,2.0,Ogudu Gra Ogudu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Renovated Mini Flat,1500000.0,1.0,1.0,1.0,Ikate Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,700000.0,1.0,1.0,2.0,Abesan Estate Ipaja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Built Room Self Contain,1200000.0,1.0,1.0,1.0,Pedro Shomolu,0,0,0,0,0,1,0,0,0,0,0,0,Other
3 Bedroom Terrace Duplex With Bq,105000000.0,3.0,3.0,3.0,Ajah Lekki Phase 2 Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
A Decent Lovely Mini Flat,1000000.0,1.0,1.0,1.0,Alapere Kosofe/Ikosi,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,1000000.0,1.0,1.0,2.0,New London Estate Baruwa Ipaja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,2800000.0,1.0,1.0,2.0,Off Diya Road Gbagada,0,0,1,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Room Self Contain,1300000.0,1.0,1.0,1.0,Off Pedro Road Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
A Decent Lovely Room Self Contain,1400000.0,1.0,1.0,1.0,Off Oregun Road Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Other
A Decent Newly Built Studio Apartment,1500000.0,1.0,1.0,1.0,Sawmill Gbagada,0,0,1,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Studio Apartment,1600000.0,1.0,1.0,1.0,Off Diya Road Gbagada,0,0,1,0,0,1,0,0,0,0,0,0,Apartment
A Standard Newly Built Mini Flat,1800000.0,1.0,1.0,2.0,Oworoshoki Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Standard Newly Built Room Self Contain,1500000.0,1.0,1.0,1.0,Adekunle Yaba,0,0,0,0,0,1,0,0,0,0,0,0,Other
A Standard Newly Built Mini Flat,1600000.0,1.0,1.0,2.0,Oworoshoki Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,2500000.0,1.0,1.0,2.0,Off Pedro Road Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
3 Bedroom Terrace Duplex,8000000.0,3.0,3.0,3.0,Ikota Lekki Phase 2 Lekki,0,0,0,0,0,0,1,0,0,0,0,0,Duplex
A Decent Newly Renovated Room Self Contain,1000000.0,1.0,1.0,1.0,Off Alapere Roundabout Kosofe/Ikosi,0,0,0,0,0,1,0,0,0,0,0,0,Other
A Decent Newly Built Mini Flat,3000000.0,1.0,1.0,1.0,Pedro Shomolu,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Room Self,1500000.0,1.0,1.0,1.0,Off Abule Nla Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Other
A Standard Newly Built 2 Bedroom Flat,4000000.0,2.0,2.0,3.0,Oworoshoki Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,2500000.0,1.0,1.0,2.0,Pedro Shomolu,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,2000000.0,1.0,1.0,2.0,Adekunle Yaba,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,2500000.0,1.0,1.0,2.0,Iponri Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Room Self Contain,1300000.0,1.0,1.0,1.0,Off Pedro Road Shomolu,0,0,0,0,0,1,0,0,0,0,0,0,Other
A Decent Lovely Mini Flat,2000000.0,1.0,1.0,2.0,Morocco Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
3 Bed Apartment With Pool & Gym,265000000.0,,,,Adeniyi Jones Ikeja,1,1,0,1,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Built 2 Bedroom Flat,3000000.0,2.0,2.0,3.0,Off Goodluck Alapere Kosofe/Ikosi,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Studio Apartment,1800000.0,1.0,1.0,1.0,Akoka Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Lovely 3 Bedroom Flat,4500000.0,3.0,3.0,4.0,Gbagada,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,2000000.0,1.0,1.0,1.0,Soluyi Gbagada,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,2200000.0,1.0,1.0,2.0,Adekunle Yaba,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
A Decent Newly Built Mini Flat,3000000.0,1.0,1.0,2.0,Off Diya Sawmill Gbagada,0,0,1,0,0,1,0,0,0,0,0,0,Apartment
A Decent Lovely Mini Flat,1800000.0,1.0,1.0,2.0,Iwaya Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Decent Newly Built Studio Apartment,1000000.0,1.0,1.0,1.0,Waec Road Fadeyi Shomolu,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,25000000.0,3.0,3.0,1.0,Glover Road Old Ikoyi Ikoyi,1,1,1,1,0,0,0,1,1,0,1,0,Apartment
3 Bedroom Flat,18000000.0,3.0,3.0,4.0,Opposite Admiralty Way Lekki Phase One Freedom Way Lekki,1,1,0,0,0,0,1,1,0,0,0,0,Apartment
Newly Built 2 Bedroom Apartment,2000000.0,,,,Funso Owoyemi Off Olaniyi Abule Egba Abule Egba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Sweet And Beautiful Fully Furnished Shared Apartment,2200000.0,1.0,1.0,1.0,Mobil Road Ikota Lekki,0,0,1,0,0,0,1,0,1,0,1,1,Apartment
4 Bedroom Duplex,7500000.0,4.0,4.0,5.0,Atlantic Nominee Estate Gen Paint B/Stop Sangotedo,0,0,0,0,0,0,1,0,0,0,0,0,Duplex
4 Bedroom Semi Detached Duplex,12000000.0,,,,Orchid Lekki,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Mini Flat,1500000.0,,,,Puposhola After Bridge Abule Egba Abule Egba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Standard 3 Bedroom Apartment,5500000.0,,,,Magodo Phase 2 Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Flat,1500000.0,2.0,2.0,2.0,Oshodi Expressway Oshodi,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Flat Upstairs,1400000.0,2.0,2.0,3.0,Jumofak Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Beautiful Roomself At Mechanic Village Agric Ikorodu,600000.0,,,,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Villa
Spacious Room Self Contained,500000.0,,,,Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Spacious Mini Flat,500000.0,1.0,1.0,1.0,Berger Ojodu,1,0,0,0,0,0,0,0,0,0,0,0,Apartment
Commercial 5 Bedroom Fully Detached Duplex + 3bq,90000000.0,,,6.0,Victoria Island,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Room Self Contained,800000.0,,,,Onike Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Other
3 Bedroom Flat,3500000.0,3.0,3.0,4.0,Akoka Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Shop,96000.0,,,,Egan Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Other
Open Space,1200000.0,,,,Ishaga Road Surulere,0,0,0,0,0,0,0,0,0,0,0,0,Other
3 Bedroom Flat In An Estate Ojodu Berger,3500000.0,3.0,3.0,4.0,Berger Ojodu,1,0,0,0,0,0,0,0,0,0,0,0,Apartment
Roomself,250000.0,,,,Igando Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Other
Renovated 2 Bedroom Flat,1700000.0,2.0,2.0,2.0,Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Spacious Room Self Contained Upstairs,700000.0,,,,Bariga Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Mini Flat At Isawo Agric Ikorodu,400000.0,1.0,1.0,1.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Apartment,3000000.0,2.0,2.0,3.0,Ilaje Bus Stop Bariga Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Mini Flat,1300000.0,1.0,1.0,2.0,Agric Ikorodu,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
4 Bedroom Maisonette,50000000.0,,,,Old Ikoyi Ikoyi,1,1,0,1,0,0,0,1,0,0,0,0,Maisonette
Spacious Mini Flat,400000.0,1.0,1.0,1.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Room Self Contained,400000.0,,,,Ago Palace Okota,0,0,0,0,0,0,0,0,0,0,0,0,Other
Mini Flat,400000.0,1.0,1.0,2.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Mini Flat,1200000.0,1.0,1.0,1.0,Isheri Egbe/Idimu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Spacious Mini Flat,1300000.0,1.0,1.0,1.0,Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Apartment,3000000.0,2.0,2.0,3.0,Ilaje Bus Stop Bariga Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Mini Flat,1300000.0,1.0,1.0,2.0,Agric Ikorodu,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
Spacious Room Self Contained,700000.0,,,,Bariga Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Spacious 3 Bedroom Flat,1000000.0,3.0,3.0,3.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
5bed Penthouse+bq..,2700000000.0,5.0,6.0,6.0,"Banana Island Road, Ikoyi",1,0,1,1,0,0,0,0,1,0,1,0,Other
3 Bedroom Flat,1300000.0,3.0,3.0,4.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
A Very Big Shop,800000.0,,,,Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Mini Flat,1300000.0,1.0,1.0,2.0,Agric Ikorodu,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
Mini Flat,500000.0,1.0,1.0,1.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Shop Space,240000.0,,,,Governors Road Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Other
Spacious Room Self Contain,800000.0,,,,Aguda Surulere,0,0,0,0,0,0,0,0,0,0,0,0,Other
Roomself Contain,300000.0,,,,Igando Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Room Self Contained With Pop,600000.0,,,,Bariga Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Big Hall With 4 Offices,2000000.0,,,,Governors Road Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Office
Room Self Contained,400000.0,,,,Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Spacious Room Self Contained With Wardrobe,1000000.0,,,,Magodo Gra Phase 1 Ojodu,0,0,1,0,0,0,0,0,0,0,0,0,Other
Newly Built 4 Bedroom Terrace Duplex,20000000.0,4.0,4.0,4.0,Ikate Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Duplex
Spacious Room Self Contained With Wardrobe,1000000.0,,,,Magodo Gra Phase 1 Ojodu,0,0,1,0,0,0,0,0,0,0,0,0,Other
Roomself Contained,1300000.0,,,,Onike Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Other
Beautiful 2 Bedrooms Flat At Ori Okuta Agric Ikorodu,800000.0,2.0,2.0,3.0,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Spacious Shop,350000.0,,,,Egbeda Alimosho,0,0,0,0,0,1,0,0,0,0,0,0,Other
Spacious Room Self Contained,1000000.0,,,,Itire Surulere,0,0,0,0,0,0,0,0,0,0,0,0,Other
Big Shop,240000.0,,,,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built 2 Bedroom Flat Upstairs,1500000.0,3.0,2.0,3.0,Egan Ikotun/Igando,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
Room Self Contained,800000.0,,,,Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Standard Spacious Shop At Along Abaranje Road Ikotun,360000.0,,,,Abaranje Ikotun/Igando,0,0,0,0,0,0,0,0,0,0,0,0,Other
1 Bedroom Apartment,100000.0,1.0,2.0,2.0,Aina Afolayan Bodija Ibadan,0,0,1,0,0,0,1,0,1,0,0,1,Apartment
Spacious Mini Flat,1000000.0,1.0,1.0,1.0,Aguda Surulere,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Roomself Contained,400000.0,,,,Agric Ikorodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
3 Bedroom Serviced Apartment,35000000.0,3.0,3.0,4.0,Ikoyi,1,1,0,0,1,0,0,1,0,0,0,0,Apartment
2 Bedroom Apartment,10000000.0,2.0,2.0,3.0,Ikate Lekki,1,0,0,0,0,0,0,0,0,0,0,0,Apartment
Shared Apartment,1800000.0,1.0,1.0,1.0,Lekki County Ikota Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Standard 2 Bedroom Flat,5000000.0,2.0,2.0,,Oral Estate Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Roomself Contain,980000.0,1.0,1.0,1.0,Gated Estate Ologolo Road Ologolo Lekki Lagos State Ologolo Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Other
Standard 2 Bedroom Flat,5000000.0,2.0,2.0,,Ikota Villa Estate Ikota Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
